Source,Sector,Subsector,City,County,Local Air Authority,2012 total emissions (MTCO2e),2012 biogenic carbon dioxide (MTCO2e),2013 total emissions (MTCO2e),2013 biogenic carbon dioxide (MTCO2e),2014 total emissions (MTCO2e),2014 biogenic carbon dioxide (MTCO2e),2015 total emissions (MTCO2e),2015 biogenic carbon dioxide (MTCO2e),2016 total emissions (MTCO2e),2016 biogenic carbon dioxide (MTCO2e),2017 total emissions (MTCO2e),2017 biogenic carbon dioxide (MTCO2e)
U.S. Oil & Refining Co. - Tacoma,Refineries,Petroleum Refineries,Tacoma,Pierce,Puget Sound Clean Air Agency,165457,0,169124,0,171612,0,128434,0,135324,0,133427,0
University of Washington Seattle Campus - Seattle,Government,Education,Seattle,King,Puget Sound Clean Air Agency,83585,0,90339,0,82134,0,82430,0,87171,0,94113,0
US Army Joint Base Lewis-McChord - Pierce Co.,Government,National Security,Joint Base Lewis-McChord,Pierce,Puget Sound Clean Air Agency,86478,0,83806,0,83587,0,78742,0,75889,0,78440,0
"Vaagen Bros. Lumber, Inc. - Colville",Wood Products,Lumber Mills,Colville,Stevens,Ecology: Eastern Regional Office,44695,43738,47081,46460,49542,48889,44422,43836,41269,40723,49235,48586
WaferTech LLC - Camas,Manufacturing,Electronics Manufacturing,Camas,Clark,Southwest Clean Air Agency,139460,0,140759,115,189929,23,172434,0,156445,0,112737,0
Washington State University - Pullman,Government,Education,Pullman,Whitman,Ecology: Eastern Regional Office,56680,0,60798,0,59384,0,57309,0,58136,0,65446,0
Waste Management Greater Wenatchee Regional Landfill - East Wenatchee,Waste,Municipal Landfills,East Wenatchee,Douglas,Ecology: Central Regional Office,36141,0,31854,0,32740,0,31208,0,30653,0,27951,0
"WestRock CP, LLC - Tacoma",Pulp and Paper,Kraft Mills,Tacoma,Pierce,Ecology: Industrial Section,1082809,940615,1039284,925083,1173531,1059608,1135442,1011954,1134873,1011165,1124426,1000676
Weyerhaeuser Raymond Lumber - Raymond,Wood Products,Lumber Mills,Raymond,Pacific,Olympic Region Clean Air Agency,45768,44790,47339,46369,48445,47806,46229,45632,46747,46747,48561,47921
Albina Fuel Co,Transportation Fuel Supplier,Transportation Fuel Supplier,NA,NA,NA,38837,1272,38462,0,32794,0,12749,13,,,,
Ascent Aviation Group Inc,Transportation Fuel Supplier,Transportation Fuel Supplier,NA,NA,NA,18223,0,15728,0,44724,0,66762,0,66269,0,45678,0
"Associated Petroleum Products, Inc.",Transportation Fuel Supplier,Transportation Fuel Supplier,NA,NA,NA,1003689,0,1054993,36292,1325248,45274,1686102,58808,1990731,65716,2330279,76484
Avfuel Corporation,Transportation Fuel Supplier,Transportation Fuel Supplier,NA,NA,NA,41989,0,67999,0,83459,0,75236,0,32347,0,103100,0
BP West Coast Products LLC,Transportation Fuel Supplier,Transportation Fuel Supplier,NA,NA,NA,7291311,0,6053769,0,5866602,0,6092051,0,5544958,0,4814803,0
Chevron U.S.A. Inc.,Transportation Fuel Supplier,Transportation Fuel Supplier,NA,NA,NA,2921033,180260,3096698,190620,3154826,193502,3093693,190217,3079994,190121,3028590,187837
CHS INC.,Transportation Fuel Supplier,Transportation Fuel Supplier,NA,NA,NA,618830,29251,613851,9449,691788,37979,705927,0,713406,0,707879,0
CityServiceValcon LLC,Transportation Fuel Supplier,Transportation Fuel Supplier,NA,NA,NA,174415,394,325002,15275,358213,17373,384845,19040,396231,17935,396100,1905
Connell Oil Inc,Transportation Fuel Supplier,Transportation Fuel Supplier,NA,NA,NA,202238,3850,,,,,,,,,,
Elbow River Marketing Canada Ltd.,Transportation Fuel Supplier,Transportation Fuel Supplier,NA,NA,NA,,,,,,,,,,,12653,0
Elbow River Marketing USA Ltd.,Transportation Fuel Supplier,Transportation Fuel Supplier,NA,NA,NA,,,,,,,,,,,22543,0
EPIC Aviation LLC,Transportation Fuel Supplier,Transportation Fuel Supplier,NA,NA,NA,,,,,,,,,,,59046,0
Equilon Enterprises LLC dba Shell Oil Products US,Transportation Fuel Supplier,Transportation Fuel Supplier,NA,NA,NA,3115901,163141,3566781,0,3813545,0,4523704,0,5292512,0,5985748,0
ExxonMobil Oil Corporation,Transportation Fuel Supplier,Transportation Fuel Supplier,NA,NA,NA,789950,47558,963246,61463,859726,54950,903301,58167,831233,53419,867077,55933
"Hermes Consolidated, LLC dba Wyoming Refining Company",Transportation Fuel Supplier,Transportation Fuel Supplier,NA,NA,NA,25685,1714,7361,491,,,,,,,,
HollyFrontier Refining & Marketing LLC,Transportation Fuel Supplier,Transportation Fuel Supplier,NA,NA,NA,,,10747,742,522,0,116,0,,,,
"IPC (USA), Inc.",Transportation Fuel Supplier,Transportation Fuel Supplier,NA,NA,NA,198273,0,321387,0,395591,0,33803,0,14772,14,,
PetroCard Inc.,Transportation Fuel Supplier,Transportation Fuel Supplier,NA,NA,NA,,,,,,,529844,0,191708,7558,1066990,34044
Pettit Oil Company,Transportation Fuel Supplier,Transportation Fuel Supplier,NA,NA,NA,697411,34092,,,,,,,,,,
Phillips 66 Company,Transportation Fuel Supplier,Transportation Fuel Supplier,NA,NA,NA,4416054,218663,4941002,268520,5276097,290281,5252409,285529,4761013,266360,3907576,225513
"REG Marketing & Logistics GRP, LLC",Transportation Fuel Supplier,Transportation Fuel Supplier,NA,NA,NA,,,,,,,,,,,19781,19759
"RPMG, Inc.",Transportation Fuel Supplier,Transportation Fuel Supplier,NA,NA,NA,452188,452188,371271,371271,338028,338028,401017,401017,448981,448981,97522,97522
"SEI Fuel Services, Inc.",Transportation Fuel Supplier,Transportation Fuel Supplier,NA,NA,NA,381994,25484,358202,23907,396729,26479,312704,20572,346741,20812,316171,20344
Sinclair Oil Corporation,Transportation Fuel Supplier,Transportation Fuel Supplier,NA,NA,NA,15653,0,21056,0,57314,0,89794,0,122139,0,163446,0
Southern Counties Oil Co Ltd,Transportation Fuel Supplier,Transportation Fuel Supplier,NA,NA,NA,111922,5812,119268,6290,96845,4022,106342,2231,97613,3327,68529,1554
Targa Sound Terminal,Transportation Fuel Supplier,Transportation Fuel Supplier,NA,NA,NA,81445,27441,19092,7800,19757,6378,14436,8114,17924,8021,14527,3411
Tesoro Refining & Marketing Company LLC,Transportation Fuel Supplier,Transportation Fuel Supplier,NA,NA,NA,6158377,0,5740456,0,5713367,0,5604007,266252,5228903,273546,5081912,273012
The Boeing Company,Transportation Fuel Supplier,Transportation Fuel Supplier,NA,NA,NA,107661,0,126519,0,129491,0,118525,0,120830,0,129232,0
U.S. Oil & Refining Co.,Transportation Fuel Supplier,Transportation Fuel Supplier,NA,NA,NA,1159448,0,1175482,0,1310797,0,1292825,0,1288944,0,1177990,0
United Parcel Service Co,Transportation Fuel Supplier,Transportation Fuel Supplier,NA,NA,NA,62859,0,47767,0,50987,0,50052,0,56975,0,62975,0
"UPS Fuel Services, Inc.",Transportation Fuel Supplier,Transportation Fuel Supplier,NA,NA,NA,31398,0,31599,0,32640,0,32845,0,33450,0,34518,0
Valero Marketing and Supply Company,Transportation Fuel Supplier,Transportation Fuel Supplier,NA,NA,NA,162579,10502,126614,8077,111391,7758,110012,6829,33485,2205,27291,1797
Vitol Inc.,Transportation Fuel Supplier,Transportation Fuel Supplier,NA,NA,NA,725057,42882,466188,27546,14658,921,12307,788,1551,104,98,7
Western Petroleum Company,Transportation Fuel Supplier,Transportation Fuel Supplier,NA,NA,NA,63500,457,19420,685,21216,463,11132,48,19449,478,12906,239
Wilson Oil Inc,Transportation Fuel Supplier,Transportation Fuel Supplier,NA,NA,NA,1232072,50925,1197669,46854,1193047,47740,1157609,46220,1207292,49518,1251997,51446
"World Fuel Services, Inc.",Transportation Fuel Supplier,Transportation Fuel Supplier,NA,NA,NA,262127,4796,235658,5443,242219,5476,326040,5479,401673,5634,314725,3016
